circ,M,G,combinations,p_std,time
SIERRA GORDA,6,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.15520221130880035,5.798079967498779
NEHUENTUE,4,2,"[[0, 1, 2, 3], [4, 5, 6, 7]]",0.03624503587181557,5.400879144668579
CORRENTOSO,4,2,"[[0, 1, 2, 3], [4, 5, 6, 7]]",0.02886411940404478,4.958213567733765
AYACARA,4,2,"[[0, 1, 2, 3], [4, 5, 6, 7]]",0.022904700539601648,6.010662078857422
TIJERAL,7,2,"[[0, 1, 2], [3, 4, 5, 6, 7]]",0.04254562601544744,5.952307224273682
PICA,22,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.07259192681161104,1.8241393566131592
COMBARBALA,39,5,"[[0, 1], [2], [3], [4], [5, 6, 7]]",0.038921137267266634,4.518315076828003
PENCAHUE,30,5,"[[0, 1], [2], [3], [4], [5, 6, 7]]",0.04497645435111276,4.629911422729492
PORTEZUELO,23,5,"[[0, 1], [2], [3], [4], [5, 6, 7]]",0.04473073881349311,3.409390926361084
CATILLO,10,2,"[[0, 1, 2, 3], [4, 5, 6, 7]]",0.02550385016285542,4.170968532562256
PLACILLA DE PENUELAS,58,8,"[[0], [1], [2], [3], [4], [5], [6], [7]]",0.044771276920997256,1.3932816982269287
COIHUECO,54,7,"[[0], [1], [2], [3], [4], [5], [6, 7]]",0.04423540486356649,2.3686165809631348
SANTA CRUZ,92,8,"[[0], [1], [2], [3], [4], [5], [6], [7]]",0.04588051151775284,1.241957664489746
MARIQUINA,50,6,"[[0], [1], [2], [3], [4], [5, 6, 7]]",0.049768878116157635,4.109248161315918
LOS LAGOS,52,6,"[[0], [1], [2], [3], [4], [5, 6, 7]]",0.04519827902052448,4.5990660190582275
MACHALI,106,8,"[[0], [1], [2], [3], [4], [5], [6], [7]]",0.03719293473230563,1.570099115371704
ANDALIEN,174,8,"[[0], [1], [2], [3], [4], [5], [6], [7]]",0.03396545653975566,1.9303219318389893
CAPITAN AVALOS,114,8,"[[0], [1], [2], [3], [4], [5], [6], [7]]",0.03660150500020375,1.2075307369232178
ALTO HOSPICIO,179,8,"[[0], [1], [2], [3], [4], [5], [6], [7]]",0.03769438924452176,1.8842556476593018
TALAGANTE,173,8,"[[0], [1], [2], [3], [4], [5], [6], [7]]",0.03071048262481017,1.7255384922027588
QUILLOTA,210,8,"[[0], [1], [2], [3], [4], [5], [6], [7]]",0.025036239188607805,1.662519931793213
SAN JOAQUIN,263,8,"[[0], [1], [2], [3], [4], [5], [6], [7]]",0.028255563821831364,2.2134127616882324
LOS PAJARITOS,206,8,"[[0], [1], [2], [3], [4], [5], [6], [7]]",0.023588859080514932,2.055860996246338
LA CISTERNA,259,8,"[[0], [1], [2], [3], [4], [5], [6], [7]]",0.02926772331005612,2.3522019386291504
ARICA,271,8,"[[0], [1], [2], [3], [4], [5], [6], [7]]",0.03152891492624958,2.1830954551696777
CHILLAN,444,8,"[[0], [1], [2], [3], [4], [5], [6], [7]]",0.019789767029050147,3.34271240234375
PROVIDENCIA,508,8,"[[0], [1], [2], [3], [4], [5], [6], [7]]",0.017597318621745475,3.952538251876831
APOQUINDO,485,8,"[[0], [1], [2], [3], [4], [5], [6], [7]]",0.015695031300781714,2.827897310256958
TALCA,532,8,"[[0], [1], [2], [3], [4], [5], [6], [7]]",0.01637050885378403,2.7930727005004883
EL CENTRO,529,8,"[[0], [1], [2], [3], [4], [5], [6], [7]]",0.018144529669449128,2.2727792263031006
